noise_percentage,confidence_factor,size_of_the_tree
03.150,0.125,38
03.150,0.150,41
03.150,0.175,65
03.150,0.1,38
03.150,0.225,85
03.150,0.25,85
03.150,0.275,311
03.150,0.2,69
03.150,0.325,336
03.150,0.350,374
03.150,0.375,443
03.150,0.3,328
03.150,0.425,501
03.150,0.45,547
03.150,0.475,565
03.150,0.4,468
03.150,0.5,589
03.200,0.025,1
03.200,0.05,40
03.200,0.075,40
03.200,0.125,40
03.200,0.150,43
03.200,0.175,109
03.200,0.1,40
03.200,0.225,127
03.200,0.25,137
03.200,0.275,184
03.200,0.2,113
03.200,0.325,363
03.200,0.350,392
03.200,0.375,467
03.200,0.3,344
03.200,0.425,519
03.200,0.45,552
03.200,0.475,552
03.200,0.4,486
03.200,0.5,552
03.250,0.025,39
03.250,0.05,42
03.250,0.075,42
03.250,0.125,42
03.250,0.150,42
03.250,0.175,42
03.250,0.1,42
03.250,0.225,46
03.250,0.25,149
03.250,0.275,200
03.250,0.2,46
03.250,0.325,388
03.250,0.350,456
03.250,0.375,499
03.250,0.3,379
03.250,0.425,522
03.250,0.45,560
03.250,0.475,560
03.250,0.4,522
03.250,0.5,577
03.300,0.025,1
03.300,0.05,35
03.300,0.075,38
03.300,0.125,38
03.300,0.150,41
03.300,0.175,78
03.300,0.1,38
03.300,0.225,173
03.300,0.25,148
03.300,0.275,390
03.300,0.2,89
03.300,0.325,434
03.300,0.350,438
03.300,0.375,467
03.300,0.3,414
03.300,0.425,506
03.300,0.45,526
03.300,0.475,562
03.300,0.4,475
03.300,0.5,562
03.350,0.025,1
03.350,0.05,38
03.350,0.075,38
03.350,0.125,38
03.350,0.150,41
03.350,0.175,41
03.350,0.1,38
03.350,0.225,140
03.350,0.25,129
03.350,0.275,271
03.350,0.2,53
03.350,0.325,424
03.350,0.350,429
03.350,0.375,438
03.350,0.3,351
03.350,0.425,493
03.350,0.45,566
03.350,0.475,566
03.350,0.4,446
03.350,0.5,566
03.400,0.025,1
03.400,0.05,38
03.400,0.075,38
03.400,0.125,38
03.400,0.150,41
03.400,0.175,41
03.400,0.1,38
